,Tweet,Username
72,Exhilarating atmosphere in Munich! Addressing a community programme. https://t.co/SzXiRPvRR8,narendramodi
73,"Gratitude to all those who voted for @BJP4India in Andhra Pradesh, Jharkhand, Delhi and Punjab. We will keep working among the people and keep raising issues of public welfare.",narendramodi
74,The by-poll wins in Azamgarh and Rampur are historic. It indicates wide-scale acceptance and support for the double engine Governments at the Centre and in UP. Grateful to the people for their support. I appreciate the efforts of our Party Karyakartas. @BJP4UP,narendramodi
75,"I thank the people of Tripura for reposing faith in @BJP4Tripura’s development agenda and blessing our candidates, including CM @DrManikSaha2 Ji with wins in the by-polls. Our Government will continue fulfilling people’s aspirations. I laud our Karyakartas for their hardwork.",narendramodi
76,"???????? ?? ?????? ??? ?????–???? ?? ??? ??? ?????? ?? ?? ??????? ??? ?????? ?? ?????? ?? ??? ?????? ?? ? ????? ???????? ?? ?????? ??, ????? ??? ????? ?? ??? ?? ??? ?? ?? ???? ???? ??? ?? ???????? ??? ?? ????? ?? ????? ??? #MannKiBaat https://t.co/OvkBZiybRn",narendramodi
77,"???? ?? ???????? ?? ????? ??????? ?? ?????? ?? ?? ??? ?????? ?? ???????? ??????, ??? ?? ?????? ????? ?? ???????? ?? ???-??? ?? ????-??????? ???? ?? ?? ????? ????? ??? #MannKiBaat https://t.co/eob511z0f6",narendramodi
78,"From Mizoram to Puducherry, here are inspiring efforts aimed at turning waste into wealth. #MannKiBaat https://t.co/tMuq15QwAC",narendramodi
79,Our youngsters continue to shine on the sports field and scale new heights! #MannKiBaat https://t.co/ptBMnssDBG,narendramodi
80,"Did you know that from a handful in 2019, we have several StartUps working in the space sector today. As a Government, we are encouraging private sector participation and giving wings to aspirations of the youth. #MannKiBaat https://t.co/JIXWlqMVCP",narendramodi
81,"Today’s #MannKiBaat was held on a day the shameful Emergency came into being in 1975. 

Lauded India’s inherent democratic spirit which ensured the Emergency was short-lived and democracy triumphed. https://t.co/v6ZgSOQQh7",narendramodi
82,"At around 6:30 PM (India time) this evening, I will address a community programme in the dynamic city of Munich. I look forward to interacting with members of the Indian diaspora. Our diaspora has distinguished itself in diverse sectors and we are proud of their accomplishments.",narendramodi
83,?????? ??????? ????? ?????? ???? ?????? ?????? ??????? ??:? ????. ?????? ???????? ?????? ?????? ??????? ??? ?????. ??????? ??????? ????? ???? ????????? ??? ????????? ???????? ????????....... ? ?????: ||,narendramodi
84,Sharing this month's #MannKiBaat. Tune in. https://t.co/4vGCN8ZiW2,narendramodi
85,Glimpses from the special welcome in Munich. https://t.co/DITMr4TPYU,narendramodi
86,"Birthday greetings to Minister Shri Dharmendra Pradhan Ji, who is making outstanding efforts to strength our education sector. May he be blessed with a long and healthy life in service of the people. @dpradhanbjp",narendramodi
87,Ich bin in München gelandet. Ich werde am G-7-Gipfel teilnehmen. Später am Tag werde ich bei einem Gemeinschaftsprogramm sprechen. https://t.co/NRGEl4xuuv,narendramodi
88,Landed in Munich to participate in the G-7 Summit. I look forward to fruitful discussions with world leaders during the Summit. https://t.co/ahajucILW2,narendramodi
89,"Here’s a interesting e-book covering the key themes covered in last month’s #MannKiBaat episode and insightful articles written by eminent people from different walks of life. 

https://t.co/XaYWs4Mcus",narendramodi
90,"Tune in at 11 AM tomorrow, 26th June! #MannKiBaat https://t.co/7OnQalexgw",narendramodi
91,"After the visit to Germany, I will be in Abu Dhabi to meet His Highness Sheikh Mohamed bin Zayed Al Nahyan. This visit will give me an opportunity to pay my personal condolences on the passing away of Sheikh Khalifa bin Zayed Al Nahyan. @MohamedBinZayed",narendramodi
92,"Starting tomorrow, 26th June, I will be in Germany to take part in the G-7 Summit being held at Schloss Elmau. I will also interact with the Indian community in Munich. On the sidelines of the Summit, I will be meeting various world leaders as well. https://t.co/zAMkr7KuCs",narendramodi
93,"Earlier today, accompanied leaders from different parties for the filing of nomination papers of Smt. Droupadi Murmu Ji. https://t.co/A83Z2Qh31F",narendramodi
94,"India’s exports are rising. 

The world is showing great interest in Indian products. 

This is a great opportunity for our local entrepreneurs. https://t.co/wfSe2jVr49",narendramodi
95,"When I had laid the foundation stone of Vanijya Bhawan in 2018, I had emphasised on improving our innovation eco-system. 

4 years later, in 2022, the results are for everyone to see. https://t.co/rwqdpJeYXm",narendramodi
96,"This morning, I inaugurated Vanijya Bhawan. 4 years ago I had laid the foundation stone for this building. Timely completion of development projects and other important infrastructure is the established SOP in our Government. https://t.co/IOaGmDY4Oj",narendramodi
97,"???????????? @himantabiswa, ??? ?????? ??????? ??? ?????????? ????????? ????-??????? ??? ??? ??? ??? ??????????????? ????? ?????? ?? ???????? ?????????? ????? ??????? ??? ???????? ???? ????????? ??? ???? ???? ??????? ???? ?????? ?????? ?????? ??????",narendramodi
98,???? ???????? ??? ?????????? ???? ??? ????????? ??? ???? ???????? ?????? ?????? ??????? ?????? ??? ??????????????? ????? ?????? ?? ?????? ??????????? ??? ?????? ????? ????? ??? ????? ?????? ???????,narendramodi
99,???? ????????? ??? ????? ?????????? ????????????? ???? ????? ???????? ???????? ????? ????? ?????????? ???????? ????????? ???? ?? ????????? ???????? ??? ?? ?????????????? ???????? ?????? ??????? ???? ??????? ????????? ???????? ????? ???????? ???? ?????????? ??? ??? ????,narendramodi
100,"CM @himantabiswa, Ministers of the Assam Government and officials are working round the clock in the districts and helping those who have suffered. I pray for the safety and wellbeing of all those in affected areas and once again assure all possible support.",narendramodi
101,Army and NDRF teams are present in the flood affected areas. They are conducting evacuation operations and assisting those who are affected. The Air Force has conducted over 250 sorties as a part of the evacuation process.,narendramodi
102,"Over the last few days, parts of Assam have witnessed flooding due to heavy rainfall. The Central Government is continuously monitoring the situation in Assam and is working closely with the State Government to provide all possible assistance to overcome this challenge.",narendramodi
103,Addressing the BRICS Summit. https://t.co/XfkygO6CdC,narendramodi
104,"Glad to meet Mr. Young Liu, Chairman, Foxconn. I welcome their plans for expanding electronics manufacturing capacity in India, including in semiconductors. Our push for EV manufacturing is in line with our commitment of Net Zero Emission. https://t.co/sC1AoGWn9c",narendramodi
105,Met Smt. Droupadi Murmu Ji. Her Presidential nomination has been appreciated across India by all sections of society. Her understanding of grassroots problems and vision for India’s development is outstanding. https://t.co/4WB2LO6pu9,narendramodi
106,"The new Vanijya Bhawan will significantly benefit those associated with trade, commerce and MSME sector. https://t.co/aCUnDht6mB",narendramodi
107,Remembering Dr. Syama Prasad Mookerjee on his Punya Tithi. Every Indian is indebted to him for his unparalleled efforts towards furthering India’s unity. He worked hard for India’s progress and dreamt of a strong and prosperous nation. We are committed to fulfilling his dreams.,narendramodi
108,"Deeply saddened at the news of the devastating earthquake in Afghanistan today. My deepest condolences on loss of precious lives. 

India stands by the people of Afghanistan in their difficult times and is ready to provide all possible disaster relief material at the earliest.",narendramodi
109,"??????? ?? ??????? ????? ??????? ??? ?????-???? ?????? ?? ?????? ??? ?? ??? ????? ???? ?? ???????????? ?? ????? ????? ????? ????? ??? ?????? ????? ?? ?? ?? ?????? ?? ?????? ??? ?? ?? ??? ??, ???? ?? ????? ???? ???? ??????? ?????? ???? ??? @BJP4Haryana",narendramodi
110,"At 10:30 AM tomorrow, 23rd June, will inaugurate Vanijya Bhawan, the new premises of the Departments of Commerce and Industry. Will also launch a new portal NIRYAT, which would be a one stop place for all info needed on India’s foreign trade. https://t.co/0ZzHaGb5yf",narendramodi
111,My remarks at BRICS Business Forum. https://t.co/DX0MiiPrZ2,narendramodi
112,"Millions of people, especially those who have experienced poverty and faced hardships, derive great strength from the life of Smt. Droupadi Murmu Ji. Her understanding of policy matters and compassionate nature will greatly benefit our country.",narendramodi
113,"Smt. Droupadi Murmu Ji has devoted her life to serving society and empowering the poor, downtrodden as well as the marginalised. She has rich administrative experience and had an outstanding gubernatorial tenure. I am confident she will be a great President of our nation.",narendramodi
114,??? ??????? ?? ?? ????????? ?? ???? ?? ????? ??… https://t.co/knBEEHjfxY,narendramodi
115,"We are greatly inspired by the thoughts and ideals of Jagadguru Basaveshwara, particularly the emphasis on serving others and acquiring knowledge. https://t.co/HVOfV6b7FL",narendramodi
116,https://t.co/yaaMpCpOeg,narendramodi
117,Southern India is home to several Mutts which have preserved and celebrated our cultural heritage. https://t.co/mXFZ8ADXvm,narendramodi
118,"During my visit to Mysuru, I had the opportunity to visit the Suttur Math. Here are glimpses from the programme last evening. https://t.co/GZ6j6fAWa3",narendramodi
119,"???????? ?? ????? ?? ??? ??? ?? ???? Part of Life ????, ????? Way of Life ?? ??? ??? 

???? ??? ?? ????? ?? ?? ?? ???? ?? ??? https://t.co/vIt2CoJKvD",narendramodi
120,"??? ???? ?? ???????? ?? ??????????? ???? ?? ?? ???? ????? ?? ??????????? ??, ????? ??? ?? ?????????? ??????? ?? ????? ?? ??? https://t.co/zjAhuInjYT",narendramodi
121,Participated in the Yoga Day programme in Mysuru. #YogaForHumanity https://t.co/SJxDfEHeOx,narendramodi
122,Greetings on #YogaDay! https://t.co/dNTZyKdcXv,narendramodi
123,??????? ???? ???????????? ??????????? ????????? ?????????. https://t.co/MWyqtkSAlp,narendramodi
124,'????? ?????????????? ??????????????? ????????? ??????'?? ????????? ???????????? ????????? ????????????????? ???? ???????? ?????????. https://t.co/2d7DUbvVOs,narendramodi
125,??????? ????? ????????? ??????? ????? ????????? ??????????? ??????? ?????? ?????????? ???? ?????????????. https://t.co/JapydyDZw4,narendramodi
126,??????????? ???? ????? ?????? ???????? ???? ????????????? ??????. ? ??????? ???????? ???????? ????????????????? ??????????. https://t.co/h2Ww993Vjl,narendramodi
127,Prayed at the Sri Chamundeshwari Temple in Mysuru. https://t.co/F2s18Iqxyx,narendramodi
128,The ‘Centre of Excellence for persons with communication disorders’ is a part of our efforts to ensure best opportunities for persons with disabilities. https://t.co/Yh4u85Fqew,narendramodi
129,It is our endeavour to provide the people of Mysuru with best connectivity which will boost commerce and prosperity. https://t.co/1PzbYeJw8G,narendramodi
130,I am extremely humbled by the people’s affection in Mysuru. It is a delight to be in this great city. https://t.co/mulJ3epibi,narendramodi
